city,date,mean
Katowice,2011-12-21,124
Katowice,2011-12-22,78
Katowice,2011-12-23,65
Katowice,2011-12-24,22
Katowice,2011-12-25,22
Katowice,2011-12-26,20
Katowice,2011-12-27,22
Katowice,2011-12-28,36
Katowice,2011-12-29,32
Katowice,2011-12-30,21
Katowice,2011-12-31,46.5
Kraków,2011-01-01,40.146
Kraków,2011-01-02,53.52766666666667
Kraków,2011-01-03,64.34733333333334
Kraków,2011-01-04,180.014
Kraków,2011-01-05,278.139
Kraków,2011-01-06,269.06933333333336
Kraków,2011-01-07,146.875
Kraków,2011-01-08,141.65266666666668
Kraków,2011-01-09,126.27766666666666
Kraków,2011-01-10,106.41666666666667
Kraków,2011-01-11,94.83333333333333
Kraków,2011-01-12,70.20833333333333
Kraków,2011-01-13,69.875
Kraków,2011-01-14,60.111
Kraków,2011-01-15,24.694333333333333
Kraków,2011-01-16,107.986
Kraków,2011-01-17,135.29
Kraków,2011-01-18,161.09733333333332
Kraków,2011-01-19,133.375
Kraków,2011-01-20,40.22233333333333
Kraków,2011-01-21,34.84733333333333
Kraków,2011-01-22,53.65266666666667
Kraków,2011-01-23,43.611
Kraków,2011-01-24,50.736
Kraków,2011-01-25,80.861
Kraków,2011-01-26,73.68066666666667
Kraków,2011-01-27,139.764
Kraków,2011-01-28,150.93066666666667
Kraków,2011-01-29,171.83333333333334
Kraków,2011-01-30,183.44433333333333
Kraków,2011-01-31,119.236
Kraków,2011-02-01,156.97233333333332
Kraków,2011-02-02,90
Kraków,2011-02-03,89.79166666666667
Kraków,2011-02-04,46.375
Kraków,2011-02-05,23.375
Kraków,2011-02-06,23.902666666666665
Kraków,2011-02-07,79.514
Kraków,2011-02-08,89.45833333333333
Kraków,2011-02-09,61.52766666666667
Kraków,2011-02-10,119.264
Kraków,2011-02-11,67.611
Kraków,2011-02-12,36.59733333333333
Kraków,2011-02-13,76.55566666666667
Kraków,2011-02-14,64.764
Kraków,2011-02-15,80.09733333333334
Kraków,2011-02-16,81.08333333333333
Kraków,2011-02-17,89.889
Kraków,2011-02-18,102.736
Kraków,2011-02-19,101.20833333333333
Kraków,2011-02-20,70.75
Kraków,2011-02-21,85.81933333333333
Kraków,2011-02-22,83.06933333333333
Kraków,2011-02-23,89.94433333333333
Kraków,2011-02-24,113.75
Kraków,2011-02-25,94.66666666666667
Kraków,2011-02-26,83.84733333333334
Kraków,2011-02-27,97.361
Kraków,2011-02-28,81.43066666666667
Kraków,2011-03-01,95.736
Kraków,2011-03-02,101.65266666666666
Kraków,2011-03-03,155.94433333333333
Kraków,2011-03-04,246.72233333333332
