"film_id"|"channel_id"|"date"|"time"
"2358"|"1891"|"20170612"|"22:32:49"
"221"|"91"|"20170612"|"22:29:03"
"3815"|"1829"|"20170612"|"22:27:43"
"3819"|"1829"|"20170612"|"22:27:10"
"3816"|"1829"|"20170612"|"22:26:23"
"3820"|"1829"|"20170612"|"22:22:12"
"3817"|"1829"|"20170612"|"22:22:02"
"3818"|"1829"|"20170612"|"22:21:17"
"2359"|"1274"|"20170612"|"22:20:50"
"1041"|"538"|"20170612"|"22:20:16"
"1203"|"659"|"20170612"|"22:19:40"
"2286"|"1226"|"20170612"|"22:19:34"
"3843"|"495"|"20170612"|"22:15:41"
"2283"|"1891"|"20170612"|"22:15:06"
"2284"|"1891"|"20170612"|"22:13:29"
"2933"|"1891"|"20170612"|"22:09:07"
"890"|"1891"|"20170612"|"22:05:43"
"3799"|"1158"|"20170612"|"21:54:49"
"2653"|"1336"|"20170612"|"21:44:34"
"1119"|"1896"|"20170612"|"21:42:03"
"3773"|"283"|"20170612"|"21:40:02"
"3764"|"283"|"20170612"|"21:39:59"
"2282"|"1420"|"20170612"|"21:39:50"
"222"|"91"|"20170612"|"21:28:42"
"223"|"91"|"20170612"|"21:27:47"
"3756"|"1792"|"20170612"|"20:59:42"
"3765"|"1792"|"20170612"|"20:55:34"
"1142"|"7"|"20170612"|"20:54:57"
"3755"|"708"|"20170612"|"20:54:15"
"3761"|"928"|"20170612"|"20:54:04"
"3759"|"928"|"20170612"|"20:53:10"
"3760"|"1792"|"20170612"|"20:48:54"
"183"|"248"|"20170612"|"20:47:42"
"1693"|"2061"|"20170612"|"20:47:40"
"3754"|"1464"|"20170612"|"20:47:29"
"1540"|"859"|"20170612"|"20:47:19"
"2599"|"1356"|"20170612"|"20:46:11"
"136"|"1882"|"20170612"|"20:41:24"
"2589"|"1139"|"20170612"|"20:40:47"
"135"|"1106"|"20170612"|"20:40:17"
"2006"|"2053"|"20170612"|"20:39:37"
"228"|"1277"|"20170612"|"19:39:21"
"2301"|"2033"|"20170612"|"17:14:34"
"3568"|"967"|"20170612"|"16:06:54"
"3569"|"967"|"20170612"|"15:49:21"
"531"|"406"|"20170612"|"14:03:34"
"3394"|"967"|"20170612"|"11:44:52"
"3395"|"967"|"20170612"|"11:12:24"
"2592"|"929"|"20170612"|"11:11:25"
"2591"|"967"|"20170612"|"11:08:15"
"3612"|"967"|"20170612"|"00:03:48"
"24"|"442"|"20170611"|"22:57:29"
"3605"|"967"|"20170611"|"22:57:13"
"3596"|"967"|"20170611"|"22:35:53"
"3587"|"967"|"20170611"|"22:18:32"
"3606"|"967"|"20170611"|"22:16:47"
"3578"|"967"|"20170611"|"21:19:24"
"3556"|"967"|"20170611"|"20:54:32"
"3546"|"967"|"20170611"|"20:30:26"
"3536"|"967"|"20170611"|"19:55:35"
"2868"|"97"|"20170611"|"19:55:21"
"3895"|"1483"|"20170611"|"18:51:40"
"1943"|"1025"|"20170611"|"16:49:11"
"3638"|"967"|"20170611"|"14:04:58"
"1321"|"967"|"20170611"|"13:59:58"
"3093"|"1529"|"20170611"|"12:22:14"
"1254"|"1582"|"20170611"|"12:17:15"
"630"|"154"|"20170611"|"12:16:11"
"1335"|"715"|"20170611"|"12:15:48"
"1337"|"714"|"20170611"|"12:15:14"
"1340"|"714"|"20170611"|"12:15:02"
"1336"|"714"|"20170611"|"12:14:25"
"1338"|"1161"|"20170611"|"12:13:45"
"1339"|"714"|"20170611"|"12:13:40"
"3132"|"1556"|"20170611"|"00:34:42"
"1198"|"78"|"20170610"|"23:45:18"
"3396"|"1989"|"20170610"|"20:34:24"
"1884"|"63"|"20170610"|"20:34:06"
"3073"|"198"|"20170610"|"20:34:04"
"1379"|"967"|"20170610"|"17:52:28"
"3165"|"967"|"20170610"|"17:39:47"
"1171"|"967"|"20170610"|"17:29:21"
"2577"|"967"|"20170610"|"17:22:06"
"3369"|"843"|"20170610"|"16:30:45"
"3368"|"491"|"20170610"|"16:28:35"
"3361"|"12"|"20170610"|"16:26:46"
"3358"|"1126"|"20170610"|"16:16:25"
"3359"|"1587"|"20170610"|"16:14:36"
"3355"|"1126"|"20170610"|"16:13:09"
"3356"|"1126"|"20170610"|"15:24:00"
"3380"|"918"|"20170610"|"15:09:20"
"3362"|"1213"|"20170610"|"15:06:12"
"3357"|"1126"|"20170610"|"15:05:19"
"3360"|"1126"|"20170610"|"15:01:37"
"3364"|"178"|"20170610"|"15:00:20"
"3363"|"1626"|"20170610"|"15:00:05"
"3639"|"967"|"20170610"|"02:44:55"
"3537"|"967"|"20170610"|"02:44:46"
"1269"|"702"|"20170610"|"01:30:08"
"3181"|"1607"|"20170610"|"01:26:31"
"368"|"712"|"20170610"|"01:26:25"
"367"|"712"|"20170610"|"01:22:43"
"369"|"712"|"20170610"|"01:18:56"
"2185"|"1172"|"20170610"|"01:18:19"
"1570"|"801"|"20170610"|"01:15:03"
"1572"|"801"|"20170610"|"01:12:48"
"1574"|"801"|"20170610"|"01:08:39"
"1573"|"801"|"20170610"|"01:04:20"
"1571"|"801"|"20170610"|"00:59:43"
"1339"|"714"|"20170610"|"00:35:16"
"1609"|"212"|"20170609"|"23:11:05"
"1609"|"212"|"20170609"|"22:47:45"
"1335"|"715"|"20170609"|"21:42:55"
"1338"|"1161"|"20170609"|"21:39:17"
"1336"|"714"|"20170609"|"21:35:05"
"1339"|"714"|"20170609"|"21:31:15"
"314"|"131"|"20170609"|"20:47:11"
"2615"|"1327"|"20170609"|"20:44:41"
"3265"|"489"|"20170609"|"20:44:05"
"1162"|"489"|"20170609"|"20:40:57"
"3537"|"967"|"20170609"|"20:22:47"
"3547"|"967"|"20170609"|"20:16:26"
"3557"|"967"|"20170609"|"19:36:43"
"3579"|"967"|"20170609"|"15:56:06"
"3570"|"967"|"20170609"|"15:36:36"
"2246"|"1348"|"20170609"|"11:58:33"
"3989"|"1954"|"20170609"|"00:35:12"
"1162"|"489"|"20170608"|"16:59:36"
"4106"|"442"|"20170607"|"23:01:58"
"4106"|"442"|"20170607"|"22:02:34"
"3588"|"967"|"20170607"|"21:43:52"
"3579"|"967"|"20170607"|"21:43:48"
"4107"|"442"|"20170607"|"20:59:12"
"3652"|"636"|"20170606"|"16:29:41"
"3996"|"313"|"20170606"|"00:10:33"
"602"|"245"|"20170606"|"00:07:10"
