"title","genres","countries"
"Unbroken","Biography, Drama, Sport, War","USA"
"The Dictator","Comedy","USA"
"Annie","Comedy, Drama, Family, Musical","USA"
"Focus","Comedy, Crime, Drama, Romance","USA, Argentina"
"This Means War","Action, Comedy, Romance","USA"
"Resident Evil: Retribution","Action, Horror, Sci-Fi, Thriller","Germany, Canada, USA, France, UK"
"Death Race","Action, Sci-Fi, Thriller","USA, Germany, UK"
"I, Frankenstein","Action, Fantasy, Horror, Sci-Fi, Thriller","USA, Australia"
"Astro Boy","Animation, Action, Comedy, Family, Sci-Fi","Hong Kong, USA, Japan"
"Dragon Blade","Action, Adventure, Drama, History","China, Hong Kong"
"The Love Guru","Comedy, Romance, Sport","UK, Germany, USA"
"The Hateful Eight","Crime, Drama, Mystery, Thriller, Western","USA"
"Hop","Animation, Adventure, Comedy, Family, Fantasy","USA"
"Gone Girl","Crime, Drama, Mystery, Thriller","USA"
"2 Guns","Action, Comedy, Crime","USA"
"Couples Retreat","Comedy","USA"
"Eat Pray Love","Drama, Romance","USA"
"Jack Reacher","Action, Crime, Thriller","USA"
"Jack Reacher","Action, Crime, Thriller","USA"
"Contagion","Drama, Thriller","USA, United Arab Emirates"
"Coraline","Animation, Drama, Fantasy, Thriller","USA"
"The Happening","Mystery, Sci-Fi, Thriller","USA, India"
"ParaNorman","Animation, Adventure, Comedy, Family, Fantasy","USA"
"The Tale of Despereaux","Animation, Adventure, Comedy, Family, Fantasy","UK, USA"
"Jack Ryan: Shadow Recruit","Action, Drama, Thriller","USA, Russia"
"Joy","Drama","USA"
"London Has Fallen","Action, Thriller","UK, Bulgaria, USA"
"The Boxtrolls","Animation, Adventure, Comedy, Family, Fantasy","USA"
"Gangster Squad","Action, Crime, Drama, Thriller","USA"
"Year One","Adventure, Comedy","USA"
"Invictus","Biography, Drama, History, Sport","USA"
"State of Play","Crime, Drama, Mystery, Thriller","USA, UK, France"
"Duplicity","Comedy, Crime, Romance, Thriller","USA, Germany"
"Planet 51","Animation, Adventure, Comedy, Family, Sci-Fi","Spain, UK, USA"
"Trouble with the Curve","Drama, Sport","USA"
"Edge of Darkness","Crime, Drama, Mystery","UK, USA"
"Righteous Kill","Crime, Drama, Mystery, Thriller","USA"
"The Soloist","Biography, Drama, Music","UK, France, USA"
"Priest","Action, Fantasy, Horror, Sci-Fi, Thriller","USA"
"Winter's Tale","Drama, Fantasy, Mystery, Romance","USA"
"The Mortal Instruments: City of Bones","Action, Fantasy, Horror","USA, Germany, Canada, UK"
"Meet Dave","Adventure, Comedy, Family, Romance, Sci-Fi","USA"
"Inkheart","Adventure, Family, Fantasy","Germany, UK, USA"
"The Spirit","Action, Crime, Fantasy","USA"
"Mortdecai","Action, Comedy, Crime, Mystery, Romance","UK, USA"
"Deadpool","Action, Adventure, Comedy, Sci-Fi","USA"
"American Sniper","Action, Biography, Drama, History, Thriller, War","USA"
"Goosebumps","Adventure, Comedy, Family, Fantasy, Horror","USA, Australia"
"Goosebumps","Adventure, Comedy, Family, Fantasy, Horror","USA, Australia"
"Leatherheads","Comedy, Drama, Romance","USA, Germany"
"Did You Hear About the Morgans?","Comedy, Drama, Romance","USA"
"The Internship","Comedy","USA"
"Resident Evil: Afterlife","Action, Adventure, Horror","Germany, France, USA, Canada, UK"
"Red Tails","Action, Adventure, Drama","USA"
"That's My Boy","Comedy","USA"
"Ghost Rider: Spirit of Vengeance","Action, Fantasy, Thriller","USA, United Arab Emirates"
"Captain Phillips","Biography, Drama, Thriller","USA"
"Date Night","Comedy, Crime, Romance, Thriller","USA"
"The Equalizer","Action, Crime, Thriller","USA"
"Mr. Popper's Penguins","Comedy, Family, Fantasy","USA"
"The Forbidden Kingdom","Action, Adventure, Fantasy","USA, China"
"Free Birds","Animation, Adventure, Comedy, Family, Sci-Fi","USA"
"Paddington","Adventure, Comedy, Family, Fantasy","UK, France, USA"
"The Watch","Action, Comedy, Horror, Sci-Fi","USA"
"The Watch","Action, Comedy, Horror, Sci-Fi","USA"
"Semi-Pro","Comedy, Sport","USA"
"The Pirates! Band of Misfits","Animation, Adventure, Comedy, Family","UK, USA"
"Changeling","Biography, Crime, Drama, History, Mystery, Thriller","USA"
"Imagine That","Comedy, Drama, Family","USA, Germany"
"Muppets Most Wanted","Adventure, Comedy, Crime, Family, Musical, Mystery","USA"
"Burlesque","Drama, Music, Musical, Romance","USA"
"Seven Pounds","Drama, Romance","USA"
"Bullet to the Head","Action, Thriller","USA"
"Black Mass","Biography, Crime, Drama","USA, UK"
"Law Abiding Citizen","Crime, Drama, Thriller","USA"
"Zero Dark Thirty","Drama, Thriller","USA"
"Mamma Mia!","Comedy, Musical, Romance","USA, UK, Germany"
"Valentine's Day","Comedy, Romance","USA"
"The Change-Up","Comedy, Fantasy","USA"
"From Paris with Love","Action, Crime, Thriller","France"
"The Twilight Saga: New Moon","Adventure, Drama, Fantasy, Romance","USA"
"The Adjustment Bureau","Romance, Sci-Fi, Thriller","USA"
"Ted","Comedy, Fantasy, Romance","USA"
"Anchorman 2: The Legend Continues","Comedy","USA"
"Super 8","Mystery, Sci-Fi, Thriller","USA"
"22 Jump Street","Action, Comedy, Crime","USA"
"Yes Man","Comedy, Romance","USA, UK"
"Central Intelligence","Action, Comedy, Crime","USA, China"
"Daddy's Home","Comedy","USA"
"Into the Woods","Adventure, Comedy, Drama, Fantasy, Musical","USA"
"We Bought a Zoo","Comedy, Drama, Family","USA"
"Knowing","Drama, Mystery, Sci-Fi, Thriller","USA, UK, Australia"
"Crazy, Stupid, Love.","Comedy, Drama, Romance","USA"
"Moneyball","Biography, Drama, Sport","USA"
